,Name of Recipe,Recipe Type,difficulty level,cooking time
57,Chilli Potato,Indo Chinese Recipes,Moderate,40 mins
58,Panakam Recipe | Panagam Recipe for Ram Navami Festival,Beverages,Easy,10 mins
59,Ugadi Pachadi,Andhra Recipes,Easy,10 mins
60,White Sauce Recipe | Béchamel Sauce (Homemade & Easy),DIY & Collections,Moderate,15 mins
61,Jackfruit Payasam | Chakka Payasam,Sweets Recipes,Moderate,30 mins
62,Nannari Sarbath | Nannari Syrup | Nannari Sharbat,Beverages,Easy,30 mins
63,Cheesecake Recipe | New York Style Cheesecake,Dessert Recipes,Moderate,1 hr
64,Lemon Coriander Soup,Soup Recipes,Easy,30 mins
65,Sandwich Bread (Classic and Homemade),Bread Recipes,Moderate,2 hrs 35 mins
66,Stuffed Mushrooms Recipe (Wholesome & Easy),Mushroom Recipes,Moderate,45 mins
67,Vanilla Ice Cream (Easy Classic Recipe),World Recipes,Moderate,30 mins
68,Arhar Dal | Toor Dal | Tuvar Dal,North Indian Food,Moderate,35 mins
69,Poornam Boorelu | Andhra Poornalu Recipe (Boorelu),Sweets Recipes,Moderate,40 mins
70,Tinda Recipe | Bharwa Tinda Recipe,North Indian Food,Moderate,25 mins
71,Zarda Recipe | Meethe Chawal (Indian Sweet Rice),Rice Recipes,Moderate,50 mins
72,Bhogichi Bhaji Recipe,Maharashtrian Recipes,,20 mins
73,Kung Pao Recipe | Kung Pao Vegetables,Vegan Recipes,Moderate,30 mins
74,Kalan Recipe | Kerala Kalan Curry,Kerala Recipes,Moderate,30 mins
75,Litti Chokha Recipe | Litti Recipe,North Indian Food,Moderate,1 hr 45 mins
76,Thai Yellow Curry Recipe,Thai Recipes,Moderate,45 mins
77,Leftover Rice Recipes | 23 recipes with leftover rice,Rice Recipes,,
78,Iced Tea Recipe | Lemon Iced Tea,Beverages,Easy,10 mins
79,Lava Cake | Eggless Chocolate Lava Cake,Cake Recipes,Moderate,45 mins
80,Olan Recipe | Kerala Olan Curry,Vegan Recipes,Moderate,40 mins
81,Eggless Brownie Recipe | Chocolate Brownie,Dessert Recipes,Moderate,40 mins
82,Besan Ki Barfi,Sweets Recipes,Moderate,30 mins
83,Thalipeeth Recipe,Breakfast Recipes,Moderate,25 mins
84,Rough Puff Pastry (Easy Foolproof Recipe),DIY & Collections,Moderate,1 hr
85,Biryani Recipe | Hyderabadi Veg Dum Biryani | Vegetable Biryani,Rice Recipes,Difficult,1 hr 30 mins
86,Sabudana Papad | Javvarisi Vadam | Saggubiyyam Vadiyalu,DIY & Collections,Easy,3 hrs 30 mins
87,Puttu Recipe | How To Make Kerala Puttu,Breakfast Recipes,Moderate,20 mins
88,Mushroom Stir Fry (One Pot Indian Style),Mushroom Recipes,Easy,30 mins
89,Strawberry Cream | Easy Strawberries and Cream,Dessert Recipes,Easy,15 mins
90,Goli Baje | Mangalore Bajji | Mangalore Bonda,Pakora Recipes,Moderate,3 hrs 20 mins
91,Potato Wedges Recipe – Fried & Baked,Snacks Recipes,Moderate,30 mins
92,Rava Recipes | 28 Suji Recipes,DIY & Collections,,
93,Kada Prasad Recipe | Gurudwara Karah Prasad Recipe,North Indian Food,,30 mins
94,Poosanikai Kootu | Poricha Kootu | White Pumpkin Kootu,South Indian Food,Moderate,30 mins
95,30 Best South Indian Breakfast Recipes,Breakfast Recipes,,
96,Bhakarwadi Recipe | Bakarwadi Recipe,Vegan Recipes,,55 mins
97,Raj Kachori,North Indian Food,Moderate,40 mins
98,Sattu Drink | Sattu Sharbat,Beverages,,5 mins
99,Kootu Curry | Koottukari Recipe,Vegan Recipes,Moderate,40 mins
100,Karachi Halwa | Bombay Halwa,Halwa,,20 mins
101,Ginger Garlic Paste Recipe,DIY & Collections,Moderate,40 mins
102,Idiyappam Recipe | Nool Puttu,Kerala Recipes,Moderate,20 mins
103,Best Thin Crust Pizza (Crispy Crunchy and Light Pizza Crust),Italian Recipes,Easy,2 hrs 25 mins
104,Cherry Smoothie | Banana Cherry Smoothie,Smoothie,Easy,25 mins
105,Noodle Soup | Vegetable Noodle Soup,Soup Recipes,Moderate,30 mins
106,Instant Idli Recipe | Instant Idli Mix,Breakfast Recipes,Moderate,30 mins
107,Pumpkin Soup Recipe,Soup Recipes,Easy,30 mins
108,Kulkul Recipe | Eggless Kalkal Recipe,Sweets Recipes,Moderate,40 mins
109,malai kulfi recipe | how to make malai kulfi | matka kulfi,Dessert Recipes,,40 mins
110,Ulli Theeyal,Kerala Recipes,Moderate,50 mins
111,Sattu Ke Laddu | Sattu Ladoo,Ladoo Recipes,Easy,15 mins
112,jigarthanda recipe | jigarthanda drink | how to make jigarthanda recipe,Beverages,Moderate,5 mins
113,Kotte Kadubu | Kadubu Idli,Breakfast Recipes,Moderate,9 hrs 15 mins
114,Ennegayi Recipe | Badanekayi Ennegayi,Brinjal Recipes,Moderate,50 mins
115,Chana Dal Sundal | Kadalai Paruppu Sundal,Dal (Lentils) & Legumes,Moderate,1 hr 35 mins
116,pumpkin sambar | poosanikai sambar,Tamil Nadu Food,Moderate,40 mins
117,Mishti Doi,Sweets Recipes,Moderate,35 mins
118,Bruschetta Recipe | Tomato Bruschetta Bread,Bread Snacks,Easy,10 mins
119,Katori Chaat Recipe | Tokri Chaat,Gluten Free Recipes,Moderate,45 mins
120,Kofta Recipe | Veg Kofta Curry,Curry Recipes,Difficult,1 hr
121,Aloo Chop Recipe | Alur Chop | Aloor Chop,Street Food Recipes,Moderate,40 mins
122,Ulli Vada,Pakora Recipes,Moderate,40 mins
123,Kuska Rice | Kuska Biryani | Kuska Recipe,Rice Recipes,Moderate,35 mins
124,Aloo Chokha,Potato Recipes,Easy,20 mins
125,Kashi Halwa | Dumroot Halwa | Ash Gourd Halwa,Halwa,Moderate,40 mins
126,Unniyappam Recipe | Unni Appam,Snacks Recipes,Moderate,3 hrs 50 mins
127,Chhena Poda Recipe | Chenna Poda,Sweets Recipes,Moderate,40 mins
128,Indian Kachumber Salad (Cucumber Tomato Onion Salad),Salad Recipes,Easy,15 mins
129,Aval Laddu | Poha Laddu,Sweets Recipes,Moderate,15 mins
130,Cream Cheese Sandwich (With Mix Veggies),Bread Snacks,Easy,20 mins
131,Biryani Masala Recipe | Homemade Biryani Masala Powder,Spice Mix,Moderate,15 mins
132,Colocasia Leaves Recipe | Alu Chi Bhaji,Maharashtrian Recipes,Moderate,1 hr 10 mins
133,Kara Boondi Recipe | Masala Boondi Mixture,Evening Snacks,Moderate,45 mins
134,Double Ka Meetha Recipe,Sweets Recipes,Moderate,30 mins
135,Oats Uttapam (Instant & Healthy),Breakfast Recipes,Moderate,40 mins
136,Milagu Rasam | Pepper Rasam,South Indian Food,Moderate,45 mins
137,Ellu Sadam | Sesame Rice,Rice Recipes,,35 mins
138,Instant Mango Pickle | Manga Achar | Kadumanga Achar,Pickle Recipes,Moderate,12 mins
139,Singapore Noodles – Veg Singapore Mei Fun,Gluten Free Recipes,Easy,30 mins
140,Maddur Vada,Karnataka Recipes,Moderate,30 mins
141,Veg Lollipop Recipe,Snacks Recipes,Moderate,45 mins
142,Aloo Bhaja,Bengali Recipes,Moderate,15 mins
143,Chanar Dalna,Bengali Recipes,Moderate,40 mins
144,Rishi Panchami Bhaji | Rushichi Bhaji,Vegan Recipes,Moderate,1 hr
145,Badam Kheer,Sweets Recipes,Moderate,50 mins
146,Easy Jeera Aloo Recipe in 30 minutes,Potato Recipes,Moderate,30 mins
147,Garlic Bread Recipe,Bread Snacks,Easy,15 mins
148,Akkha Masoor (Kolhapuri Style),Dal (Lentils) & Legumes,Moderate,40 mins
149,Pori Urundai Recipe | Murmura Laddu,Sweets Recipes,Moderate,20 mins
150,Poori Sagu | Bombay Sagu | Potato Sagu,Potato Recipes,Moderate,50 mins
151,Chinese Mushroom In Spicy Sauce,Mushroom Recipes,Moderate,25 mins
152,Mango Cake Recipe (Eggless + Whole Wheat),Cake Recipes,Moderate,1 hr 5 mins
153,Rava Uttapam | Suji Uttapam,Breakfast Recipes,Easy,45 mins
154,Sprouts Chaat,Snacks Recipes,Easy,30 mins
155,Honey Cake (Bakery Style),Cake Recipes,Easy,50 mins
156,Gingerbread Cookies,Cookies,Moderate,35 mins
157,Idli Podi Recipe,Spice Mix,,15 mins
158,Gutti Vankaya | Gutti Vankaya Kura | Gutti Vankaya Curry,Brinjal Recipes,Moderate,40 mins
159,Shepu Bhaji | Suva Bhaji,Vegetable Recipes,Moderate,35 mins
160,Handvo Recipe,Gujarati Recipes,Moderate,8 hrs 50 mins
161,Poricha Kulambu | Poricha Kuzhambu,Curry Recipes,Moderate,30 mins
162,Paruppu Payasam | Moong Dal Payasam | Pasi Paruppu Payasam,Sweets Recipes,Moderate,20 mins
163,Aloo Bhujia | Aloo Sev,Evening Snacks,Moderate,50 mins
164,American Chop Suey Recipe,Indo Chinese Recipes,Moderate,40 mins
165,Dry Fruit Barfi | Date Rolls | Dry Fruit Halwa,Sweets Recipes,Moderate,25 mins
166,Dry Jamun | Dry Gulab Jamun,Sweets Recipes,Moderate,45 mins
167,Kele ka Kofta | Banana Kofta,Navratri & Fasting Recipes,Moderate,30 mins
168,Spring Roll Sheets | Spring Roll Wrappers Recipe,DIY & Collections,Moderate,50 mins
169,Pudina Rice | Spicy Pudina Pulao (Mint Rice),Rice Recipes,Moderate,45 mins
170,Shorba | Biryani Gravy | Sherva Recipe,Curry Recipes,Moderate,30 mins
171,Tom Yum Soup,Soup Recipes,Moderate,30 mins
172,Garlic Cheese Bread,Bread Snacks,Moderate,15 mins
173,Tomato Khejur Chutney | Bengali Tomato And Date Chutney,Chutney Recipes,Moderate,20 mins
174,Ragi Laddu | Nachni Ladoo,Ladoo Recipes,Easy,15 mins
175,Turai ki Sabji | Ridge Gourd Recipe | Dodka Bhaji,Vegetable Recipes,Moderate,50 mins
176,Lilva Kachori,Snacks Recipes,Difficult,50 mins
177,Lasaniya Batata Recipe,Potato Recipes,Moderate,50 mins
178,Garlic Rasam | Poondu Rasam,Tamil Nadu Food,Moderate,35 mins
179,Kara Kuzhambu | Kara Kulambu,Tamil Nadu Food,Moderate,50 mins
180,Eggplant Parmesan | Eggplant Parmigiana,Italian Recipes,Moderate,50 mins
181,Potato Chips Recipe | Potato Wafers,Potato Recipes,Moderate,40 mins
182,Aval Payasam | Poha Kheer,Gluten Free Recipes,,20 mins
183,Fafda Recipe,Vegan Recipes,,30 mins
184,Peanut Rice,Rice Recipes,Moderate,30 mins
185,Cream of Tomato Soup,Soup Recipes,Easy,20 mins
186,Dahi Bhalla,Punjabi Recipes,,5 hrs 30 mins
187,Paneer Popcorn | Paneer Nuggets,Snacks Recipes,,30 mins
188,Gatte Ki Sabji Recipe,Curry Recipes,Moderate,45 mins
189,Gajar Ki Barfi | Carrot Burfi,Sweets Recipes,Moderate,35 mins
190,Vazhakkai Poriyal | Raw Banana Poriyal,Vegan Recipes,Easy,25 mins
191,Golgappa Recipe (Delhi Style) | Golgappa Pani,Street Food Recipes,Moderate,25 mins
192,Vegetable Chop Recipe | Bengali Style Veg Chop,Street Food Recipes,,50 mins
193,Brinjal Chutney | Vankaya Chutney,Chutney Recipes,Moderate,25 mins
194,Ragi Roti | Nachni Roti,Indian Breads,,40 mins
195,Peanut Chutney Recipe | Groundnut Chutney,Chutney Recipes,Moderate,20 mins
196,Pina Colada Recipe (Mocktail Drink),Beverages,Moderate,15 mins
197,Cabbage Poriyal,Cabbage Recipes,Easy,40 mins
198,Badam Ladoo | Easy Almond Laddu,Ladoo Recipes,Moderate,10 mins
199,Vegetarian Lasagna Recipe | Mushroom Spinach Lasagna,Pasta Recipes,Moderate,50 mins
200,Bendakaya Pulusu | Bendakaya Curry,Okra Recipes,,50 mins
201,"Veg Kabab Recipe, How to make Kebab Recipe (2 Ways)",Snacks Recipes,Moderate,35 mins
202,Tomato Thokku Recipe (Thakkali Thokku),Condiments,Moderate,40 mins
203,Rasmalai Recipe | Rasmalai Sweet,Sweets Recipes,Moderate,50 mins
204,Cheese Roll | Bread Cheese Roll,Bread Snacks,Moderate,35 mins
205,Veg Fried Rice Recipe,Rice Recipes,Moderate,45 mins
206,Lohri Recipes | 30 Lohri Festival Recipes 2023,DIY & Collections,,
207,Oats Porridge Recipe | Oatmeal Porridge,Breakfast Recipes,Easy,6 mins
208,Vanilla Extract Recipe | How to make Vanilla Extract,DIY & Collections,Easy,5 mins
209,Onion Bajji | Vengaya Bajji,Pakora Recipes,Moderate,25 mins
210,Til Ke Laddu | Sesame Laddu,Ladoo Recipes,Difficult,20 mins
211,Peanut Chikki Recipe (Peanut Gajak),Sweets Recipes,Difficult,25 mins
212,Papaya Chutney | Papaya Sambharo,Chutney Recipes,Moderate,15 mins
213,Vellarikka Pachadi | Kerala Cucumber Pachadi,Raita Recipes,Moderate,15 mins
214,Thayir Vadai | Curd Vada,Tamil Nadu Food,Moderate,9 hrs 30 mins
215,Curd Rice | Thayir Sadam | Daddojanam Recipe,Rice Recipes,Moderate,20 mins
216,Pazham Pori | Banana Fritters,Street Food Recipes,Moderate,40 mins
217,Makar Sankranti Recipes | 30 Sankranti Recipes 2023,DIY & Collections,,
218,Sweet Corn Sundal,Tamil Nadu Food,,20 mins
219,Pongal Festival Recipes | 46 Pongal Food Recipes 2023,DIY & Collections,,
220,Ven Pongal Recipe | Khara Pongal | Ghee Pongal,South Indian Food,Moderate,25 mins
221,Sweet Pongal | Festive Sakkarai Pongal | Chakkara Pongal,Sweets Recipes,Moderate,20 mins
222,Macaroni Recipe | Indian style Macaroni Pasta,Pasta Recipes,Moderate,30 mins
223,Hung Curd | How To Make Greek Yogurt,DIY & Collections,Moderate,5 hrs
224,Strawberry Mousse Recipe,Dessert Recipes,Easy,15 mins
225,Aloo Methi Recipe,Vegetable Recipes,Moderate,40 mins
226,Applesauce Recipe (Unsweetened),DIY & Collections,Moderate,20 mins
227,Kantola Sabji | Kakrol Fry | Spiny Gourd Recipe,Vegetable Recipes,Moderate,30 mins
228,"sprouts curry recipe, how to make mixed sprouts curry | mixed sprouts recipe",Dal (Lentils) & Legumes,Moderate,35 mins
229,Aloo Kofta,Potato Recipes,,1 hr 5 mins
230,Nevri Recipe,Sweets Recipes,Moderate,40 mins
231,Kanchipuram Idli | Kovil Idli,South Indian Food,,9 hrs 20 mins
232,Ladies Finger Curry | Bhindi Curry,Curry Recipes,Moderate,50 mins
233,Instant Pot Gajar Halwa,Instant Pot,,50 mins
234,Urad Dal Recipe,Dal (Lentils) & Legumes,Easy,4 hrs 10 mins
235,Red Coconut Chutney (Kerala Style),Chutney Recipes,Moderate,15 mins
236,Sev Tamatar ki Sabji | Sev Tameta Nu Shaak,Curry Recipes,Moderate,30 mins
237,Jhal Muri,Bengali Recipes,Easy,15 mins
238,Bread Halwa Recipe,Halwa,Moderate,30 mins
239,Radhaballavi Recipe | Dal Puri | Radhaballabhi Recipe,Bengali Recipes,Moderate,9 hrs 30 mins
240,Bread Pudding | Caramel Bread Pudding,Dessert Recipes,Moderate,40 mins
241,nolen gurer payesh | bengali rice payesh,Sweets Recipes,Moderate,1 hr
242,Green Chutney Recipe (Hari Chatni),Chutney Recipes,Moderate,15 mins
243,Dosa Recipe | Dosa Batter Recipe for Perfect Plain Dosa,Breakfast Recipes,Moderate,9 hrs 30 mins
244,Panjiri Recipe,North Indian Food,Moderate,25 mins
245,Butter Naan,Indian Breads,Moderate,2 hrs 30 mins
246,Mirchi Vada | Mirchi Bada,Pakora Recipes,,50 mins
247,Barfi Recipe | Khoya Barfi | Mawa Barfi,Sweets Recipes,Moderate,20 mins
248,Punugulu Recipe,Street Food Recipes,Moderate,30 mins
249,Tamarind Rice | Puliyodharai Recipe,Rice Recipes,Moderate,1 hr
250,Kara Chutney (Tamil Nadu Style),Chutney Recipes,Moderate,20 mins
251,Kesari Bath,Sweets Recipes,Moderate,20 mins
252,Indian Flour Names,DIY & Collections,,
253,Vada Pav Recipe (Mumbai Style),Maharashtrian Recipes,Moderate,50 mins
254,Pav Recipe | Ladi Pav | Pav Bread,Indian Breads,Moderate,1 hr 55 mins
255,Vazhaipoo Vadai | Banana Flower Recipe,Tamil Nadu Food,Moderate,3 hrs 30 mins
256,Veg Cheese Sandwich,Bread Snacks,Moderate,40 mins
257,Chinese Pakoda | Cabbage Manchurian,Street Food Recipes,Moderate,30 mins
258,Dum Aloo Banarasi,Potato Recipes,Moderate,50 mins
259,Snake Gourd Recipe | Padwal Bhaji | Chichinda ki sabji,Vegetable Recipes,Moderate,25 mins
260,Milk Masala Powder | Masala Dudh Powder,Condiments,Moderate,10 mins
261,Bread Gulab Jamun,Sweets Recipes,Moderate,30 mins
262,Goda Masala Recipe,Spice Mix,Moderate,30 mins
263,Masala Khichdi | Vegetable Khichdi,North Indian Food,Moderate,30 mins
264,Sweet Potato Chaat | Shakarkandi Chaat,Navratri & Fasting Recipes,Easy,15 mins
265,Chilli Idli,Evening Snacks,Moderate,20 mins
266,Meethi Seviyan | Sweet Vermicelli | Dry Seviyan,Sweets Recipes,Moderate,25 mins
267,Veg Sagu | Vegetable Sagu,Karnataka Recipes,Moderate,55 mins
268,Red Sauce Pasta,Pasta Recipes,Easy,40 mins
269,Calzone Recipe | Pizza Pockets | Calzone Pocket (Vegetarian),Bread Recipes,Moderate,1 hr 40 mins
270,Khara Bath,Breakfast Recipes,Moderate,30 mins
271,Bisi Bele Bath Recipe (Karnataka Style),Rice Recipes,Moderate,1 hr 20 mins
272,Kachori Recipe | Khasta Kachori,Snacks Recipes,Moderate,2 hrs 45 mins
273,Mushroom 65,Hyderabadi Recipes,,25 mins
274,Beetroot Rasam,South Indian Food,Moderate,25 mins
275,Idli Manchurian,Snacks Recipes,Moderate,20 mins
276,Bread and Butter Pudding (Without Eggs),Dessert Recipes,Moderate,1 hr 5 mins
277,Aval Upma | Poha Upma,Breakfast Recipes,Moderate,30 mins
278,Bisi Bele Bath Powder,Spice Mix,Moderate,30 mins
279,Kathi Roll | How to make Veg Kathi Roll,Street Food Recipes,Moderate,50 mins
280,vegetables name | indian vegetables name in english | list of vegetables,DIY & Collections,,
281,Potato Stew,Potato Recipes,Easy,30 mins
282,Bread Patties | Bread Pattice,Bread Snacks,Moderate,40 mins
283,Green Chilli Pickle | Hari Mirch ka Achar,Pickle Recipes,Moderate,25 mins
284,Tomato Saar,Curry Recipes,Moderate,25 mins
285,Jackfruit Curry,Curry Recipes,Moderate,35 mins
286,Papdi Recipe | Papri ( Fried & Baked),Snacks Recipes,Moderate,1 hr 10 mins
287,Orange Squash | Orange Drink,Beverages,Moderate,1 hr
288,Chow chow bath,Breakfast Recipes,,45 mins
289,Celery Soup | Easy Cream Of Celery Soup,Soup Recipes,Moderate,30 mins
290,Arbi ke patte ke pakode,Pakora Recipes,Moderate,25 mins
291,Vangyachi Bhaji | Vangi Bhaji,Brinjal Recipes,Moderate,40 mins
292,Paper Dosa,Snacks Recipes,Moderate,9 hrs 20 mins
293,Chilli Cheese Toast,Bread Snacks,Moderate,14 mins
294,Kaddu ki Kheer,Navratri & Fasting Recipes,Moderate,40 mins
295,Khoya Recipe | Mawa Recipe,Sweets Recipes,,2 hrs
296,Cornflakes Chivda | Cornflakes Mixture | Makai Chivda,Snacks Recipes,Moderate,25 mins
297,Pattani Kurma | Green Peas Kurma,Curry Recipes,Moderate,30 mins
298,Besan Toast | Bread Besan Toast,Bread Snacks,Moderate,20 mins
299,Matki Recipe | Matki Amti,Maharashtrian Recipes,Moderate,55 mins
300,Vangyache Bharit | Vangi Bharit,Maharashtrian Recipes,Moderate,30 mins
301,Kulfi Falooda,Beverages,,40 mins
302,Khandvi Recipe,Gujarati Recipes,,40 mins
303,Red Garlic Chutney | Lahsun Ki Chatni (For Chaat),Chutney Recipes,Easy,40 mins
304,Drumstick Recipe | Drumstick Curry,Curry Recipes,Moderate,30 mins
305,Methi na Gota Recipe,Gujarati Recipes,Moderate,1 hr 5 mins
306,Veggie Nuggets,Snacks Recipes,Easy,40 mins
307,Ghee Roast Dosa,Breakfast Recipes,,10 hrs 20 mins
308,Whole Wheat Bread | Wholemeal Bread (Atta Bread),Bread Recipes,Moderate,1 hr 45 mins
309,Bread Cutlet,Bread Snacks,Moderate,40 mins
310,Dahi Papdi Chaat,North Indian Food,Moderate,45 mins
311,Raw Banana Recipes | Vazhakkai Recipes,South Indian Food,,
312,Fried Idli (Mumbai Style Recipe),Snacks Recipes,Moderate,11 mins
313,Easy Aloo ki Sabji | Satvik Aloo Tamatar Ki Sabji,Potato Recipes,Moderate,30 mins
314,Sesame Toast,Bread Snacks,Moderate,1 hr 10 mins
315,Maladu Recipe | Maa Laddu | Roasted Gram Ladoo,Ladoo Recipes,Moderate,12 mins
316,Onion Sambar | Vengaya Sambar,South Indian Food,,45 mins
317,Masale Bhat | Maharashtrian Masala Bhat,Rice Recipes,Moderate,1 hr 5 mins
318,Rose Milkshake | Rose Milk,Beverages,Moderate,15 mins
319,Sabudana Chivda | Sabudana Namkeen,Vegan Recipes,Moderate,30 mins
320,Maharashtrian Kadhi,Maharashtrian Recipes,Moderate,15 mins
321,Oats Chivda | Oats Mixture,Snacks Recipes,Moderate,20 mins
322,Vendakkai Sambar | Okra Sambar,Okra Recipes,,50 mins
323,Katachi Amti,Dal (Lentils) & Legumes,,35 mins
324,Jowar Roti,Indian Breads,,30 mins
325,Poha Idli,Breakfast Recipes,,9 hrs 15 mins
326,Rose Lassi,Beverages,,15 mins
327,Luchi Recipe | Bengali Luchi,Indian Breads,Moderate,1 hr 30 mins
328,Aloo Bonda,Potato Recipes,,1 hr
329,Vrat ke chawal ka pulao | Samvat pulao | Sama rice pulao,Navratri & Fasting Recipes,Moderate,45 mins
330,Sama ke chawal ki idli | Vrat ki Idli | Vari rice idli,Navratri & Fasting Recipes,,9 hrs 10 mins
331,Pumpkin Halwa | Kaddu Ka Halwa,Halwa,Moderate,40 mins
332,Kala Jamun,Sweets Recipes,Moderate,45 mins
333,Varutharacha Sambar,Kerala Recipes,,45 mins
334,Jini Dosa,Street Food Recipes,,30 mins
335,Indori Poha,Street Food Recipes,,15 mins
336,Methi Chaman,Methi Recipes (Fenugreek),,35 mins
337,Bharli Bhendi,Okra Recipes,Moderate,40 mins
338,Dal Pakwan Recipe,Breakfast Recipes,Moderate,1 hr 30 mins
339,Poha Cutlet,Snacks Recipes,Moderate,40 mins
340,Gobi Matar | Gobhi Matar ki Sabji,Vegetable Recipes,Easy,1 hr 15 mins
341,Koraishutir Kochuri | Motor Shutir Kochuri | Bengali Kachori,Bengali Recipes,Difficult,1 hr 15 mins
342,Vrat ki Kadhi | Rajgira Kadhi for Fasting | Farali Kadhi,Navratri & Fasting Recipes,Moderate,15 mins
343,Cabbage Coleslaw | Cabbage Salad,Salad Recipes,Moderate,15 mins
